Date,EUR Future 1 Month
1989-10-31,16.380901
1989-11-30,15.848119
1989-12-29,16.524076
1990-01-31,16.217964
1990-02-28,15.784782
1990-03-30,14.866941
1990-04-30,13.683958
1990-05-31,13.113695
1990-06-29,12.784159
1990-07-31,14.989423
1990-08-31,20.094652
1990-09-28,29.222721
1990-10-31,24.909512
1990-11-30,21.020805
1990-12-31,20.326431
1991-01-31,14.258298
1991-02-28,13.625092
1991-03-29,14.829021
1991-04-30,15.928477
1991-05-31,15.8944235
1991-06-28,16.209196
1991-07-31,16.491228
1991-08-30,17.327976
1991-09-30,16.780931
1991-10-31,17.735334
1991-11-29,15.767212
1991-12-31,12.895431
1992-01-31,13.989517
1992-02-28,13.784166
1992-03-31,14.343323
1992-04-30,15.584621
1992-05-29,15.956712
1992-06-30,14.90325
1992-07-31,14.497168
1992-08-31,13.473927
1992-09-30,14.239709
1992-10-30,14.832609
1992-11-30,14.925137
1992-12-31,14.786967
1993-01-29,14.890358
1993-02-26,15.72212
1993-03-31,15.437393
1993-04-30,15.277224
1993-05-31,14.889529
1993-06-30,14.928809
1993-07-30,14.876987
1993-08-31,14.7216
1993-09-30,14.656912
1993-10-29,13.656007
1993-11-30,12.843874
1993-12-31,11.739594
1994-01-31,12.628775
1994-02-28,11.652265
1994-03-31,11.289085
1994-04-29,13.251689
1994-05-31,13.813083
1994-06-30,14.316065
1994-07-29,15.161896
1994-08-31,13.256624
1994-09-30,13.653372
1994-10-31,13.136646
1994-11-30,13.85874
1994-12-30,13.244501
1995-01-31,13.25653
1995-02-28,13.050205
1995-03-31,12.853471
1995-04-28,14.09659
1995-05-31,13.234634
1995-06-30,12.039691
1995-07-31,11.630948
1995-08-31,12.468349
1995-09-29,12.062257
1995-10-31,12.089132
1995-11-30,12.867175
1995-12-29,13.687276
1996-01-31,12.763656
1996-02-29,13.533491
1996-03-29,14.848531
1996-04-30,14.99527
1996-05-31,13.955312
1996-06-28,14.763057
1996-07-31,14.361702
1996-08-30,15.827558
1996-09-30,18.127148
1996-10-31,17.564112
1996-11-29,17.899536
1996-12-31,18.724442
1997-01-31,18.81999
1997-02-28,16.287912
1997-03-31,16.629484
1997-04-30,16.38503
1997-05-30,16.921064
1997-06-30,16.446024
1997-07-31,17.735743
1997-08-29,17.001928
1997-09-30,17.918242
1997-10-31,17.579908
1997-11-28,17.026249
1997-12-31,15.143459
1998-01-30,14.904744
1998-02-27,13.139837
1998-03-31,13.466805
1998-04-30,13.258757
1998-05-29,13.085049
1998-06-30,12.330661
1998-07-31,11.895675
1998-08-31,11.396425
1998-09-30,12.540578
1998-10-30,11.192008
1998-11-30,9.044531
1998-12-31,8.972393
1999-01-29,9.989438
1999-02-26,9.864902
1999-03-31,14.160936
1999-04-30,15.676443
1999-05-31,14.587332
1999-06-30,16.91624
1999-07-30,18.082523
1999-08-31,20.187393
1999-09-30,22.070385
1999-10-29,20.561192
1999-11-30,23.422174
1999-12-31,24.925463
2000-01-31,26.75389
2000-02-29,29.13296
2000-03-31,25.923601
2000-04-28,26.198048
2000-05-31,30.181236
2000-06-30,32.09449
2000-07-31,29.063242
2000-08-31,35.728767
2000-09-29,33.80154
2000-10-31,36.235126
2000-11-30,36.52194
2000-12-29,25.320887
2001-01-31,28.464659
2001-02-28,27.685144
2001-03-30,28.21946
2001-04-30,31.3688
2001-05-31,34.70957
2001-06-29,30.718493
2001-07-31,28.172068
2001-08-31,28.94881
2001-09-28,25.521175
2001-10-31,22.620766
2001-11-30,21.352076
2001-12-31,22.37212
2002-01-31,22.317896
2002-02-28,24.53416
2002-03-29,29.735
2002-04-30,29.394781
2002-05-31,26.172127
2002-06-28,25.799294
2002-07-31,26.022913
2002-08-30,27.964981
2002-09-30,29.140482
2002-10-31,25.971928
2002-11-29,25.304234
2002-12-31,27.31605
2003-01-31,28.881872
2003-02-28,30.341446
2003-03-31,24.901512
2003-04-30,21.173105
2003-05-30,22.33537
2003-06-30,24.609104
2003-07-31,25.25819
2003-08-29,26.848143
2003-09-30,23.685339
2003-10-31,23.893728
2003-11-28,23.716238
2003-12-31,23.95395
2004-01-30,23.385159
2004-02-27,25.798447
2004-03-31,25.584606
2004-04-30,28.781301
2004-05-31,30.013128
2004-06-30,28.278688
2004-07-30,33.3056
2004-08-31,32.512516
2004-09-30,37.29495
2004-10-29,38.271606
2004-11-30,34.27216
2004-12-31,29.850967
2005-01-31,35.217426
2005-02-28,37.843967
2005-03-31,41.877506
2005-04-29,39.687717
2005-05-31,41.230495
2005-06-30,45.903534
2005-07-29,48.973026
2005-08-31,54.28479
2005-09-30,52.78563
2005-10-31,48.448967
2005-11-30,46.700035
2005-12-30,49.776352
2006-01-31,54.28595
2006-02-28,51.807735
2006-03-31,54.390163
2006-04-28,57.38029
2006-05-31,54.96487
2006-06-30,57.470097
2006-07-31,58.862694
2006-08-31,54.82713
2006-09-29,49.297775
2006-10-31,46.254505
2006-11-30,48.527412
2006-12-29,46.116543
2007-01-31,44.045425
2007-02-28,46.78358
2007-03-30,50.995956
2007-04-30,49.567703
2007-05-31,50.57608
2007-06-29,52.736134
2007-07-31,56.306637
2007-08-31,53.330887
2007-09-28,55.491695
2007-10-31,62.559536
2007-11-30,60.315723
2007-12-31,64.32929
2008-01-31,62.048313
2008-02-29,65.94637
2008-03-31,63.529263
2008-04-30,71.28409
2008-05-30,82.152504
2008-06-30,88.75278
2008-07-31,79.459076
2008-08-29,77.7278
2008-09-30,69.663635
2008-10-31,51.32799
2008-11-28,42.14798
2008-12-31,32.63188
2009-01-30,35.807384
2009-02-27,36.585365
2009-03-31,37.154716
2009-04-30,38.397583
2009-05-29,46.27772
2009-06-30,49.383595
2009-07-31,50.291084
2009-08-31,48.590763
2009-09-30,47.178963
2009-10-30,51.090427
2009-11-30,52.295902
2009-12-31,54.41659
2010-01-29,51.547283
2010-02-26,56.921722
2010-03-31,61.213917
2010-04-30,65.77403
2010-05-31,60.661465
2010-06-30,61.292694
2010-07-30,59.898865
2010-08-31,58.864353
2010-09-30,60.37113
2010-10-29,59.618557
2010-11-30,66.17885
2010-12-31,70.79349
2011-01-31,73.76223
2011-02-28,80.97929
2011-03-31,82.89307
2011-04-29,85.0206
2011-05-31,81.08502
2011-06-30,77.561714
2011-07-29,81.0807
2011-08-31,79.929016
2011-09-30,76.76104
2011-10-31,79.05903
2011-11-30,82.19545
2011-12-30,82.84855
2012-01-31,84.82116
2012-02-29,92.052536
2012-03-30,92.09323
2012-04-30,90.24095
2012-05-31,82.385765
2012-06-29,77.208496
2012-07-31,85.27308
2012-08-31,91.080376
2012-09-28,87.39502
2012-10-31,83.87346
2012-11-30,85.65378
2012-12-31,84.2189
2013-01-31,85.094635
2013-02-28,85.3029
2013-03-29,85.82573
2013-04-30,77.74149
2013-05-31,77.22902
2013-06-28,78.524216
2013-07-31,80.96527
2013-08-30,86.2275
2013-09-30,80.113846
2013-10-31,80.12367
2013-11-29,80.707825
2013-12-31,80.62286
2014-01-31,78.89664
2014-02-28,79.02478
2014-03-31,78.262764
2014-04-30,77.93322
2014-05-30,80.24203
2014-06-30,82.062515
2014-07-31,79.17849
2014-08-29,78.57904
2014-09-30,74.950516
2014-10-31,68.550896
2014-11-28,56.33633
2014-12-31,47.387997
2015-01-30,46.931183
2015-02-27,55.894962
2015-03-31,51.355885
2015-04-30,59.497505
2015-05-29,59.675953
2015-06-30,57.046738
2015-07-31,47.532776
2015-08-31,48.300777
2015-09-30,43.27637
2015-10-30,45.029984
2015-11-30,42.224327
2015-12-31,34.321487
2016-01-29,32.0746
2016-02-29,33.081947
2016-03-31,34.79789
2016-04-29,42.031265
2016-05-31,44.63708
2016-06-30,44.73258
2016-07-29,37.998924
2016-08-31,42.158092
2016-09-30,43.66711
2016-10-31,43.985065
2016-11-30,47.66267
2016-12-30,54.026814
2017-01-31,51.583626
2017-02-28,52.562405
2017-03-31,49.59632
2017-04-28,47.480495
2017-05-31,44.743862
2017-06-30,41.939438
2017-07-31,44.460396
2017-08-31,43.97985
2017-09-29,48.704926
2017-10-31,52.696205
2017-11-30,53.402218
2017-12-29,55.70179
2018-01-31,55.622684
2018-02-28,53.94456
2018-03-30,57.018826
2018-04-30,62.237125
2018-05-31,66.35594
2018-06-29,67.99042
2018-07-31,63.51039
2018-08-31,66.72987
2018-09-28,71.28577
2018-10-31,66.71676
2018-11-30,51.877705
2018-12-31,46.91724
2019-01-31,54.061844
2019-02-28,58.06877
2019-03-29,60.96452
2019-04-30,64.91306
2019-05-31,57.740173
2019-06-28,58.51578
2019-07-31,58.838932
2019-08-30,55.026405
2019-09-30,55.766582
2019-10-31,54.00825
2019-11-29,56.661827
2019-12-31,58.860252
2020-01-31,52.42946
2020-02-28,45.818974
2020-03-31,20.614632
2020-04-30,23.067093
2020-05-29,31.825962
2020-06-30,36.629875
2020-07-31,36.76346
2020-08-31,37.935658
2020-09-30,34.93729
2020-10-30,32.16279
2020-11-30,39.901066
2020-12-31,42.403404
2021-01-29,46.044827
2021-02-26,54.766045
2021-03-31,54.168797
2021-04-30,55.948418
2021-05-31,56.694202
2021-06-30,63.35807
2021-07-30,64.30497
2021-08-31,61.80879
2021-09-30,67.806564
2021-10-29,73.00571
2021-11-30,62.24202
2021-12-31,68.40809
2022-01-31,81.1838
2022-02-28,90.01694
2022-03-31,97.506096
2022-04-29,103.68895
2022-05-31,114.440094
2022-06-30,109.50973
2022-07-29,107.64188
2022-08-31,95.971756
2022-09-30,89.736786
2022-10-31,95.96236
2022-11-30,82.09687
2022-12-30,80.25222
2023-01-31,77.77778
2023-02-28,79.321106
2023-03-31,73.59535
2023-04-28,72.18441
